"ensembl_gene_id","entrezgene_id","hgnc_symbol"
"ENSG00000001084",2729,"GCLC"
"ENSG00000001167",4800,"NFYA"
"ENSG00000001497",81887,"LAS1L"
"ENSG00000003096",90293,"KLHL13"
"ENSG00000003756",10181,"RBM5"
"ENSG00000004399",23129,"PLXND1"
"ENSG00000004487",23028,"KDM1A"
"ENSG00000004534",10180,"RBM6"
"ENSG00000004848",170302,"ARX"
"ENSG00000004975",1856,"DVL2"
"ENSG00000005007",5976,"UPF1"
"ENSG00000005073",3207,"HOXA11"
"ENSG00000005075",5439,"POLR2J"
"ENSG00000005102",4222,"MEOX1"
"ENSG00000005302",10943,"MSL3"
"ENSG00000005339",1387,"CREBBP"
"ENSG00000005436",6936,"GCFC2"
"ENSG00000005513",30812,"SOX8"
"ENSG00000005801",7748,"ZNF195"
"ENSG00000005810",23077,"MYCBP2"
"ENSG00000005889",7543,"ZFX"
"ENSG00000005981",51666,"ASB4"
"ENSG00000006047",51087,"YBX2"
"ENSG00000006194",10127,"ZNF263"
"ENSG00000006377",1750,"DLX6"
"ENSG00000006468",2115,"ETV1"
"ENSG00000006704",9569,"GTF2IRD1"
"ENSG00000007237",8522,"GAS7"
"ENSG00000007372",5080,"PAX6"
"ENSG00000007545",57585,"CRAMP1"
"ENSG00000007866",7005,"TEAD3"
"ENSG00000007968",1870,"E2F2"
"ENSG00000008083",3720,"JARID2"
"ENSG00000008196",7021,"TFAP2B"
"ENSG00000008197",83741,"TFAP2D"
"ENSG00000008405",1407,"CRY1"
"ENSG00000008441",4784,"NFIX"
"ENSG00000008838",9862,"MED24"
"ENSG00000009307",7812,"CSDE1"
"ENSG00000009709",5081,"PAX7"
"ENSG00000009950",51085,"MLXIPL"
"ENSG00000009954",9031,"BAZ1B"
"ENSG00000010030",51513,"ETV7"
"ENSG00000010244",7756,"ZNF207"
"ENSG00000010318",51533,"PHF7"
"ENSG00000010539",7752,"ZNF200"
"ENSG00000010803",22955,"SCMH1"
"ENSG00000010818",3097,"HIVEP2"
"ENSG00000011007",6924,"ELOA"
"ENSG00000011052",654364,"NME1-NME2"
"ENSG00000011243",26993,"AKAP8L"
"ENSG00000011258",54799,"MBTD1"
"ENSG00000011304",5725,"PTBP1"
"ENSG00000011332",8193,"DPF1"
"ENSG00000011451",58525,"WIZ"
"ENSG00000011590",27033,"ZBTB32"
"ENSG00000012048",672,"BRCA1"
"ENSG00000012504",9971,"NR1H4"
"ENSG00000012817",8284,"KDM5D"
"ENSG00000012822",57658,"CALCOCO1"
"ENSG00000013503",55703,"POLR3B"
"ENSG00000013561",9604,"RNF14"
"ENSG00000013619",10046,"MAMLD1"
"ENSG00000014164",23144,"ZC3H3"
"ENSG00000014824",10463,"SLC30A9"
"ENSG00000015153",10138,"YAF2"
"ENSG00000015171",10771,"ZMYND11"
"ENSG00000015479",9782,"MATR3"
"ENSG00000016082",3670,"ISL1"
"ENSG00000018189",22902,"RUFY3"
"ENSG00000018408",25937,"WWTR1"
"ENSG00000018869",147948,"ZNF582"
"ENSG00000019485",56981,"PRDM11"
"ENSG00000019549",6591,"SNAI2"
"ENSG00000020256",55734,"ZFP64"
"ENSG00000020426",4331,"MNAT1"
"ENSG00000020633",864,"RUNX3"
"ENSG00000022267",2273,"FHL1"
"ENSG00000022840",9921,"RNF10"
"ENSG00000022976",55778,"ZNF839"
"ENSG00000023041",64429,"ZDHHC6"
"ENSG00000023287",9821,"RB1CC1"
"ENSG00000023572",51022,"GLRX2"
"ENSG00000023608",6617,"SNAPC1"
"ENSG00000024526",55635,"DEPDC1"
"ENSG00000025156",3298,"HSF2"
"ENSG00000025293",51230,"PHF20"
"ENSG00000025434",10062,"NR1H3"
"ENSG00000028277",5452,"POU2F2"
"ENSG00000028310",65980,"BRD9"
"ENSG00000028839",9519,"TBPL1"
"ENSG00000029153",56938,"BMAL2"
"ENSG00000029363",9774,"BCLAF1"
"ENSG00000029639",51106,"TFB1M"
"ENSG00000029993",3149,"HMGB3"
"ENSG00000030419",22807,"IKZF2"
"ENSG00000032219",5926,"ARID4A"
"ENSG00000033800",8554,"PIAS1"
"ENSG00000034152",5606,"MAP2K3"
"ENSG00000034677",25897,"RNF19A"
"ENSG00000035499",55789,"DEPDC1B"
"ENSG00000035928",5981,"RFC1"
"ENSG00000036257",8452,"CUL3"
"ENSG00000036549",26009,"ZZZ3"
"ENSG00000036672",9099,"USP2"
"ENSG00000037965",3224,"HOXC8"
"ENSG00000038219",259282,"BOD1L1"
"ENSG00000039068",999,"CDH1"
"ENSG00000039560",26064,"RAI14"
"ENSG00000039600",11063,"SOX30"
"ENSG00000040633",79142,"PHF23"
"ENSG00000041988",90326,"THAP3"
"ENSG00000042429",9440,"MED17"
"ENSG00000043039",8538,"BARX2"
"ENSG00000043143",23338,"JADE2"
"ENSG00000043355",7546,"ZIC2"
"ENSG00000043514",54802,"TRIT1"
"ENSG00000046889",80243,"PREX2"
"ENSG00000047315",5431,"POLR2B"
"ENSG00000047634",6322,"SCML1"
"ENSG00000048052",9734,"HDAC9"
"ENSG00000048405",168850,"ZNF800"
"ENSG00000048540",55885,"LMO3"
"ENSG00000048649",51773,"RSF1"
"ENSG00000049167",1161,"ERCC8"
"ENSG00000049246",8863,"PER3"
"ENSG00000049618",57492,"ARID1B"
"ENSG00000049768",50943,"FOXP3"
"ENSG00000050344",9603,"NFE2L3"
"ENSG00000050405",51474,"LIMA1"
"ENSG00000050628",5733,"PTGER3"
"ENSG00000051180",5888,"RAD51"
"ENSG00000052850",60529,"ALX4"
"ENSG00000053254",1112,"FOXN3"
"ENSG00000053501",55850,"USE1"
"ENSG00000053702",83714,"NRIP2"
"ENSG00000054118",9967,"THRAP3"
"ENSG00000054267",51742,"ARID4B"
"ENSG00000054598",2296,"FOXC1"
"ENSG00000054611",25771,"TBC1D22A"
"ENSG00000054796",23626,"SPO11"
"ENSG00000055118",3757,"KCNH2"
"ENSG00000055130",8454,"CUL1"
"ENSG00000055332",5610,"EIF2AK2"
"ENSG00000055609",58508,"KMT2C"
"ENSG00000056097",51663,"ZFR"
"ENSG00000056277",55609,"ZNF280C"
"ENSG00000056487",112885,"PHF21B"
"ENSG00000056586",54542,"RC3H2"
"ENSG00000057657",639,"PRDM1"
"ENSG00000057935",57504,"MTA3"
"ENSG00000058600",55718,"POLR3E"
"ENSG00000058673",9877,"ZC3H11A"
"ENSG00000058729",55781,"RIOK2"
"ENSG00000059145",64718,"UNKL"
"ENSG00000059378",64761,"PARP12"
"ENSG00000059588",6894,"TARBP1"
"ENSG00000059728",4084,"MXD1"
"ENSG00000060069",9150,"CTDP1"
"ENSG00000060138",8531,"YBX3"
"ENSG00000060339",55749,"CCAR1"
"ENSG00000060566",84699,"CREB3L3"
"ENSG00000061273",51564,"HDAC7"
"ENSG00000061337",11178,"LZTS1"
"ENSG00000061455",93166,"PRDM6"
"ENSG00000061936",6433,"SFSWAP"
"ENSG00000062194",65056,"GPBP1"
"ENSG00000062370",7771,"ZNF112"
"ENSG00000063244",11338,"U2AF2"
"ENSG00000063438",57491,"AHRR"
"ENSG00000063515",2928,"GSC2"
"ENSG00000063587",10838,"ZNF275"
"ENSG00000063978",6047,"RNF4"
"ENSG00000064195",1747,"DLX3"
"ENSG00000064218",58524,"DMRT3"
"ENSG00000064313",6873,"TAF2"
"ENSG00000064393",28996,"HIPK2"
"ENSG00000064490",8625,"RFXANK"
"ENSG00000064655",2139,"EYA2"
"ENSG00000064703",11218,"DDX20"
"ENSG00000064726",53339,"BTBD1"
"ENSG00000064835",5449,"POU1F1"
"ENSG00000064932",22904,"SBNO2"
"ENSG00000064933",5378,"PMS1"
"ENSG00000064961",10362,"HMG20B"
"ENSG00000064995",6882,"TAF11"
"ENSG00000064999",23294,"ANKS1A"
"ENSG00000065029",7629,"ZNF76"
"ENSG00000065526",23013,"SPEN"
